question,answer
It's Christmas Eve. John McClane just wants to see his family... but terrorists have just taken over which building?,Nakatomi Plaza
"What town is known as the ""The City of a Hundred Spires""?",Prague
Which of these late great rulers was born the latest?,Catherine the Great
"I would use a unit called a ""bolt"" if I was measuring what?",fabrics
Where can I find a tiny crocodile?,on a Lacoste shirt
What's the name of the witch from The Odyssey?,Circe
What is a calorie?,a unit of energy
"Which Tennessee Williams play features a patriarch character named ""Big Daddy""?",Cat on a Hot Tin Roof
"Who is famous for the phrase ""I know that I know nothing""?",Socrates
An anteater is really good at eating ants even though it does NOT have what?,teeth
Which of these is NOT a Latin phrase?,high jinks
What does alibi mean... in Latin?,elsewhere
The Third of May is a famous Goya painting that depicts what historical event?,Napoleon's attack on Spain
According to the popular podcast what is 99% Invisible?,architecture & design
What do you call a cigar that's seven inches long?,a Churchill
Where did Cirque du Soleil begin all their weird circus stuff?,Canada
"What is sometimes called the ""River of Grass""?",the Everglades
What's the grand prize on the U.S. version of The Amazing Race?,one million dollars
Which word comes from an Australian Aboriginal language?,kangaroo
What does P.S. stand for?,post scriptum
"How many years ago is ""fourscore and seven years ago""?",87 years ago
What's the title of The Little Prince in its original language?,Le Petit Prince
What does the Babadook have that I don't?,a stovepipe hat
According to the Federal Reserve what's the average lifespan of a dollar bill?,5.8 years
What's the minimum depth for a golf hole?,4 inches
According to the 22nd Amendment what's the maximum number of years someone can serve as president?,10
What design is on each OREO?,12 flowers & the Cross of Lorraine
What is a normal body temperature?,37° Celsius
What was the price of the first iPhone when it was released in 2007?,499
What's the chief electrician called on a film set?,Gaffer
What is Morticia Addam's maiden name in The Addams Family?,Frump
What's a gnomon?,the part of a sundial that casts a shadow
Where was Cars 2 race car Rip Clutchgoneski born and raised?,Republic of New Rearendia
Which movie was NOT directed by John Hughes?,Fast Times at Ridgemont High
How much does it cost to buy a vowel on Wheel of Fortune?,250
"What's the Latin translation of ""I roll""?",Volvo
What color were Dorothy's slippers in the original L. Frank Baum novel The Wizard of Oz?,silver
How far away from the target do you stand in Olympic archery?,70 meters
How is Lady Gaga's meat dress preserved in the Rock & Roll Hall of Fame?,It's dried.
Where is SpongeBob SquarePants employed?,Krusty Krab
How many pawns does each player start with in a game of chess?,8
Which planet is generally the same size as Earth?,Venus
In business what's the Peter Principle?,employees are promoted to the level of their incompetence
When you play polo on horseback what do you use to smack the ball?,a mallet
What's the dangly thing at the back of your throat called?,uvula
"Where do Archie Jughead, Betty, and Veronica hang out?",Pop's Chock'lit Shoppe
Where is the ancient city of Petra?,Jordan
What's the top prize at the Cannes Film Festival?,The Palme d'Or
What are the two hands holding on a traditional Irish claddagh ring?,a heart wearing a crown
Who hosted the British game show QI for the first 13 seasons?,Stephen Fry
What is 2019 in Roman numerals?,MMXIX
How many soccer players are on the field at one time?,22
What type of animal is Bambi's friend Flower?,a skunk
In the 2018 Olympics how much did the U.S. Olympic Committee reward athletes for each gold medal?,"$37,500"
What three regions make up Great Britain?,"England, Scotland, Wales"
Which countries share the longest land border?,Canada & the U.S.
Which famous painter was roommates with Vincent van Gogh?,Paul Gauguin
Approximately how long does it take sunlight to reach Earth?,8 minutes 20 seconds
When was Velcro patented?,1955
"How do you say ""Good day!"" in Swedish?",God dag!
How many U.S. states border the Pacific Ocean?,5
What's the full name of The Chronicles of Narnia author C. S. Lewis?,Clive Staples Lewis
Olivia Coleman won Best Actress at the Oscars for portraying which queen in The Favourite?,Queen Anne
How many strings do most violins have?,four
What went down between Princess Fiona and Shrek?,They got married and had triplets.
How much of a chicken egg's weight is because of the shell?,0.11
What is the Pope's lil' hat called? Not the big one the lil' one.,"a zucchetto (Italian for ""little gourd"")"
"Where was President Richard Nixon when he famously claimed ""I am not a crook?"",",Disney World
Where was Shakira born and raised?,Colombia
"If you're a native of Liverpool England, what are you called?",Liverpudlian
Which internal organ is capable of regenerating tissue rather than scarring?,the liver
What color are the leaves of my beautiful birch trees as they swirl in the autumn breeze?,yellow
What's the official scientific name for catnip?,nepeta cataria
What's a cicada called when it first emerges from its larval state underground?,a nymph
What's the song title of Taylor Swift's tribute to Frank Sinatra?,This song does not exist.
I have a devastating shellfish allergy. Which of these foods will NOT kill me?,tilapia
"Which word does NOT appear in the Queen song ""Bohemian Rhapsody""?",giletto
Who tawt he taw a puddy tat?,Tweety
What is NPR's video series of in-office live music called?,Tiny Desk Concerts
Who has cement glands?,barnacles
If I throw a rocking bachelor party for my dear friend in London what's it called?,a stag do
Which musical is the adaptation of the play Pygmalion?,My Fair Lady
What has a bigger population than New York City?,Cuba
Which of my favorite movies is claymation?,Chicken Run
Who has freaky rectangular pupils?,goats
What is the root of suffering?,from Latin sufferre
How do I sleep at night?,blood pressure drops
"What does ""linguini"" mean in English?",little tongues
"""Bovine"" means cows. What is ""ovine""?",sheep
Where do I keep more than half of my bones?,feet and hands
Where is Swahili NOT a national language?,Sierra Leone
Who can NOT reproduce?,two mules
Where is Manila?,the Philippines
"What does ""enervated"" mean?",weakened
What was the first zero-calorie soda?,No-Cal
When was Netflix founded?,1997
Where is Amsterdam NOT?,Scandinavia
Which of my saws requires a friend to help me operate it?,whipsaw
How could I describe my favorite lead pipe?,fistulous
If your Uber driver is en route and EN CROUTE how will she arrive?,wrapped in pastry
Which letter does NOT appear on the periodic table of elements?,J
Which actor directed A Quiet Place?,Jim from The Office
Where does the Pixar movie Ratatouille take place?,Paris
Which of these major city names is NOT outdated?,Mumbai
Who was Ingmar Bergman?,a Swedish director
Which member of the Sisterhood of the Travelling Pants is the sporty one?,Bridget
What is Hong Kong's official name?,Hong Kong Special Administrative Region of the People's Republic of China
What dish could be found at a Hungarian-Vietnamese fusion restaurant?,goulash pho
According to The American Library Association which book was the most challenged or banned in 2017?,Thirteen Reasons Why
What is hummus?,basically just chickpeas
What is Rihanna's last name?,Fenty
Where is Tunisia?,Africa
Which fruit in my gorgeous new breakfast bowl has the BIGGEST seed?,coconut
What's a mudpuppy?,a giant salamander
How old is the moon?,4.5 billion years old
When was women's rugby introduced to the Olympics?,2016
What were the three social classes among Vikings?,"karls, jarls, and thralls"
The United Nations was founded after which war?,World War II
"Who famously crooned ""cut my life into pieces, this is my last resort""?",Papa Roach
"Who said ""Where there is love there is life""?",Gandhi
What role did Ellen DeGeneres have in Finding Dory?,a blue tang
What's inside a down comforter?,feathers
When is American Thanksgiving?,the fourth Thursday in November
What's a shilling?,12 pence
Who's got the biggest brain?,a sperm whale
What was the FIRST antibiotic to be discovered?,penicillin
What is NOT spread by mosquitoes?,lyme disease
What's that thing called where you involuntarily jolt yourself awake right as you're falling asleep?,a hypnic jerk
Who wrote my favorite quadrilogy about female friendship in Naples Italy?,Elena Ferrante
What was the first food eaten in space?,applesauce
What is made by being flash-frozen in a bath of liquid nitrogen?,Dippin' Dots
Whose movies begin with a lion roaring?,Metro-Goldwyn-Mayer films
What British TV show is Dancing with the Stars based on?,Strictly Come Dancing
What does it mean to describe someone as milquetoast?,they're timid
What does Matt Damon's character grow on Mars in The Martian?,potatoes
What is Malta?,its own country
Which birds have nostrils on the tip of their beaks?,kiwis
How big is the eye of a blue whale?,like a grapefruit
"Which of these is NOT a lyric from the song ""You're a Mean One Mr. Grinch""?",You're as charming as moldy cheese
"Who are Claudia Kristy, Mary Anne and Stacey?",The Baby-Sitters Club
Which of these is NOT one of Shaquille O'Neal's rap albums?,Shaq Attaq
"Who does NOT get name dropped in the song ""Baby Shark""?",Brother shark
In Scotland what's a loch?,a lake
What do Sesame Street's Bert and Ernie wear?,stripes
What color M&M was retired in 1995?,tan
"What brand's slogan is ""when it rains it pours""?",Morton Salt
"What's the title of Langston Hughes' famous poem that begins ""What happens to a dream deferred?""",Harlem
What international border runs across the peak of Mount Everest?,Nepal and Tibet
Who fell into the Chocolate River and was sucked up the pipe in Charlie and the Chocolate Factory?,Augustus Gloop
Hold old do you have to be to open a Facebook account?,13
"Who was featured in The Lonely Island song ""I'm on a Boat""?",T-Pain
According to the U.S. Census Bureau when were Baby Boomers born?,1946-1964
When did the FDA declare Four Loko unsafe?,2010
Who wrote and directed Get Out?,Jordan Peele
"What is the Japanese equivalent of ""lol"" or ""haha""?",wwww
"According to Rolling Stone's ""500 Greatest Songs of All Time"" what is the #1 song of all time?","Like a Rolling Stone, Bob Dylan"
How old is the Earth?,4.5 billion years old
According to the Bible who lived to be 969 years old?,Methuselah
Where is the Moulin Rouge?,Paris
When was George Orwell's 1984 first published?,1949
In the play Romeo & Juliet how old is Juliet?,13
Who illustrated Roald Dahl's Matilda The BFG and The Witches?,Quentin Blake
When the moon hits your eye like a big pizza pie... what is that?,that's amore
What's an em dash?,—
If I wear a US size 7 men's shoe what's my size in Europe?,40
When first introduced as a college entrance exam in 1926 what did the SAT stand for?,Scholastic Aptitude Test
What's the highest number of Michelin stars a restaurant can be awarded?,3
Who leads the Russian Orthodox Church?,the Patriarch of Moscow
What is modern-day Persia called?,Iran
How long is one term in office for a United States Senator?,6 years
Where do Rhodes Scholars study?,University of Oxford
What's an inch?,2.54 cm
Which of these animals was domesticated first?,goats
Who is the main villain in A Series of Unfortunate Events?,Count Olaf
Which of these countries is landlocked?,Mongolia
Where was Transylvania?,Romania
What was Hermes' thing?,winged sandals
What's the longest (above water) mountain range?,the Andes
Which famous author was novelist Harper Lee's neighbor and childhood friend?,Truman Capote
What's the little yellow bird's name in the comic strip Peanuts?,Woodstock
"If you have the second highest rank in your graduating class, what's your official title?",the salutatorian
In the movie Elf what does Buddy say are the four major food groups for elves?,"candy, candy canes, candy corns, and syrup"
What was the Oxford English Dictionary Word of the Year in 2014?,vape
How does my microwave reheat my broccoli?,with electromagnetic radiation
What's the better known title for the painting La Gioconda?,The Mona Lisa
On what magazine did Norman Rockwell paintings famously appear?,The Saturday Evening Post
About how long did it take to construct the Taj Mahal?,20 years
"What appears on the national flag for Mexico Egypt, and Albania?",an eagle
Which of these comics is typically single-panel?,The Far Side
What's the name of Dan Savage's internationally syndicated advice column?,Savage Love
Which of The Golden Girls is a divorcée as opposed to a widow?,Dorothy
What's it called when a horse has one of those wide white stripes down its face?,a blaze
Which Muppet plays the drums?,Animal
What were the first names of explorers Lewis and Clark?,Meriwether and William
To whom was Marilyn Monroe NEVER married?,an elected official
Which famous singer starred in the Disney Channel show Wizards of Waverly Place?,Selena Gomez
What movie did Muppets-maker Jim Henson direct?,Labyrinth
What castle is the Disney logo based on?,Neuschwanstein Castle
Which of these primates is a monkey?,a marmoset
What makes carrots orange?,beta-carotene
In The Great Gatsby who is the love of Gatsby's life?,Daisy Buchanan
Which book was written by Cormac McCarthy?,All the Pretty Horses
Which best-selling author anonymously published an advice column called Dear Sugar?,"Cheryl Strayed, author of Wild"
Which of these writers was a man?,Jules Verne
Which of these Shakespearean characters is NOT also a common noun?,Oberon
Which house is in Latin America?,The House of the Spirits
How do you make simple syrup?,heating up sugar and water
What's the proper term for the Northern Lights?,aurora borealis
Who took care of 99 Dalmatian puppies in 1961?,Pongo & Perdita
Which Hostess snack has a swirl of cream inside?,Ho Hos
"What is a ""desiccated coconut""?","dried, grated coconut"
Which of these is NOT an official level of security clearance granted by the United States Federal Government?,Classified
Which country is part of South America AND Latin America?,Chile
What's the softest of these woods?,balsa
"In order to be legally called ""bourbon "" how must whiskey be aged?",in a charred oak barrel
What the *%@# is myrrh?,a tree resin
According to Cardi B in her song I Like It what are some of the things she likes?,"dollars, diamonds, stunting, and shining"
Who is Meghan Markle?,Her Royal Highness The Duchess of Sussex
What's in an EpiPen?,adrenaline
"What keeps ""Georgia"" on Ray Charles' mind?",Just an old sweet song
American movie star Grace Kelly became princess of which country?,Monaco
What country is the Sistine Chapel in?,Vatican City
Which state contains the geographic center of the contiguous United States?,Kansas
Which of these is a country's capital city?,Quito
What iconic move does Elle Woods teach the beauty parlor in Legally Blonde?,the Bend and Snap
For whom does chef Ina Garten often cook on her show Barefoot Contessa?,her husband Jeffrey
Who has been on the cover of Vogue the most times?,Lauren Hutton
Where is Darfur?,Sudan
Which city rings in the new year first?,Auckland
"What's the name for the economic union comprised of Belgium Luxembourg, and The Netherlands?",Benelux
Which dish does NOT involve whipping eggs?,fudge
About how many detective novels did Agatha Christie write?,66
How many dimples are typically on a golf ball?,300-400
Which Chris was Thor?,Hemsworth
"If you coyly say you ""went to school in Boston like actually in Boston proper"" where could you have gone?,",Northeastern University
Who is animated crimefighter Kim Possible's clumsy sidekick?,Ron Stoppable
Who has long floppy ears?,basset hounds
Which country leads the parade of athletes at the opening ceremony of the Olympics?,Greece
Which country straddles two continents?,Turkey
How much does the ocean liner Queen Mary 2 weigh?,about 340 million pounds
Who is thought to be the first ruler of the Holy Roman Empire?,Charlemagne
Who is Noam Chomsky?,a linguist
Who's the shortest of these NBA players?,Allen Iverson
Which came first?,aspirin
What did the singer Adele name each of her first three albums after?,her age
What's this little guy called: ^ ?,a caret
What currency did Greece use before switching to the Euro?,drachmas
In what language was the Gutenberg Bible printed?,Latin
What giant thing sits in the main courtyard of the Louvre?,a glass pyramid
According to the Oxford English Dictionary what's the least frequently occurring letter in English?,Q
Which language uses a Cyrillic alphabet?,Russian
When were the first modern Olympics held?,1896
When do I have the most intense twisted dreams?,during REM sleep
What is Michelle Obama's maiden name?,Robinson
Whose album Back to Black won them 5 Grammys in one year?,Amy Winehouse
Who wrote O Pioneers! and other novels about the Great Plains?,Willa Cather
Which of these popular Young Adult book series is written by a man?,The Maze Runner Series
How many ghosts visit Ebenezer Scrooge in A Christmas Carol?,4
What are sycophants?,suck-ups
What's the height of the official NBA basketball hoop?,10 ft
"Which major art movement is NOT considered ""modern art""?",Romanticism
How many keys are on a grand piano?,88
Which line is from The Rime of the Ancient Mariner?,"Water, water everywhere / Nor any drop to drink"
Where is the stadium for the New York Giants?,New Jersey
If I speak Pennsylvania Dutch (and I do) then what language do I speak?,German
Through which of these countries does the Amazon River flow?,Brazil
The Nile River drains into which body of water?,Mediterranean Sea
How many eggs does an American alligator lay at once?,30-50
Approximately how many bridges are there in Venice?,400
Which former child star had a pizza-themed Velvet Underground parody band called The Pizza Underground?,Macaulay Culkin from Home Alone
When was the accordion invented?,1822 in Berlin
When did a human first reach the South Pole?,1911
How would a floating corpse in the Atlantic Ocean get to the Great Lakes?,down the St. Lawrence Seaway
How wide is the Grand Canyon at its widest point?,18 miles
Which of my ornamental fish is festooned with plumes?,my lionfish
What were President Lyndon B. Johnson's beagles named?,Him & Her
What was the first YouTube video ever to reach 1 billion views?,Gangnam Style
What's the address that Dory obsessively repeats in the movie Finding Nemo?,P. Sherman / 42 Wallaby Way / Sydney
What island is Honolulu on?,the island of Oahu
Buster is a rabbit. Francine is a monkey. What is Arthur?,an aardvark
What's a prickly pear?,a type of cactus
Which possession does The Giving Tree give to the little boy?,her trunk to make a boat
"On Rotten Tomatoes what is the highest percentage a movie can get and still be considered ""rotten""?",59%
Robert Galbraith is a pseudonym sometimes used by what famous author?,J. K. Rowling
Which Kung Fu Panda character is also a symbol of the Chinese Zodiac?,Viper
In the game Battleship how many hits does it take to sink the battleship?,4
In what Old West town did the shoot-out at the O.K. Corral take place?,"Tombstone, Arizona"
Who was Dom Pérignon?,a Benedictine monk
What movie is about a party where somebody gets murdered?,Gosford Park
Which of these composers has been decomposing the longest?,Johann Sebastian Bach
"In the nursery rhyme where does Mary's annoying ""little lamb"" follow her to?",school
If I push you off the back of a boat to a watery grave where were you last seen alive?,stern
Whose first name is John?,J. R. R. Tolkien
If I'm experiencing excruciating thyroid pain where am I hurting?,neck
In the Greek alphabet which of these letters comes the latest?,sigma
What dairy product is produced through the coagulation of milk?,cheese
What color space does NOT appear on a Candy Land board?,White
"In the famous pirate shanty how many men are said to be on ""the dead man's chest""?",15
Where is the Olympic torch traditionally lit?,Olympia
Which of these Rock & Roll Hall of Famers were inducted the LATEST?,The Rolling Stones
How does the Hunchback of Notre Dame spell his name?,Quasimodo
Which of these is NOT a British Virgin Island?,Salad Island
Traditionally what gets predicted on St. Swithin's Day?,the next 40 days of weather
Which of these pies does NOT contain animal flesh?,chess pie
What is a caldera?,a volcanic crater
In which order were the Willy Wonka kids horrifically ejected from his factory tour?,"Augustus, Violet, Veruca, Mike"
What family of mammals do wildebeests belong to?,antelopes
Brain tissue is made up of grey matter and what other type of matter?,white matter
Which of these country's flags has three HORIZONTAL stripes?,Austria
What is a Romanian Longhorn?,a breed of dragon from Harry Potter
Avocado is a type of what?,berry
What animal does lard come from?,pigs
"Which of these ""Netflix Original"" series debuted first?",Unbreakable Kimmy Schmidt
When were the first Academy Awards held?,1929
When did the original Shamu die?,1971
Which of these lists of horse gaits are in order from SLOWEST to FASTEST?,"walk, trot, canter, gallop"
Which Pink Floyd album cover features a man who is literally on fire?,Wish You Were Here
In the Jules Verne novel Journey to the Center of the Earth how do the protagonists attempt to reach the center of the earth?,through a volcano
Not counting leap years how many hours closer to death are you every time a year passes?,8760
Which of my murder weapons would take the LONGEST to naturally biodegrade?,my jagged shard of GLASS
In Greek mythology who successfully cut off Medusa's head?,Perseus
"What is the cop on the ""GO TO JAIL"" space on a Monopoly board depicted doing?",blowing a whistle
In the game Fortnite what kind of vehicle do players jump out of at the start of a match?,a school bus
What is the actual name of the painting more popularly known as Whistler's Mother?,Arrangement in Grey and Black No. 1 (Portrait of the Artist's Mother)
"Which of these historical figures was NEVER granted the distinction of being named ""Time's Man of the Year""?",Fidel Castro
What country has the longest coastline?,Canada
What do you call two angles that add up to 90 degrees?,complimentary
What's a regatta?,a boat race
What is the full official name of the George Foreman Grill?,George Foreman Lean Mean Fat Reducing Grilling Machine
What team did Michael Jordan play for in the 1996 film Space Jam?,Tune Squad
Which of these films was NOT nominated for Best Animated Feature at the Academy Awards?,Hotel Transylvania
What's the title of chef Samin Nosrat's four-part food documentary on Netflix?,Salt Fat Acid Heat
How many roles is James McAvoy credited for portraying in Split?,9
Technically speaking what am I doing when I decimate my victims?,killing every 10th man
What country produces the most pulp and paper in the world?,China
"Which of these ""exes"" came first?",Kotex
Because he always wears a long scarf which Doctor Who Doctor is kind of asking to be strangled?,Fourth Doctor
What's the real first name of Guns N' Roses guitarist Slash?,Saul
"""Which of these ""culturally significant"" films was FIRST recommended for preservation by the National Film Registry?""",The Rocky Horror Picture Show
Which of these religious foods is traditionally gluten-free?,Easter eggs
Where are the Dimples of Venus?,on the lower backs of humans
Which of these American places does NOT observe Daylight Savings Time?,state of Arizona
What event was honored by the first Google Doodle?,Burning Man
What's that part of a dog where the front of the skull slopes down to the muzzle?,stop
What was the first television remote control called?,Lazy Bones
"In the beautiful word ""slaughter"" what's the term for the unpronounced letters ""gh""?",aphthong
Who was Eva Perón?,the first lady of Argentina
"If you spin the ""Big Wheel"" on The Price is Right how many possible spaces could you land on?",20
Who was the FIRST to pollute our ear canals with auto-tune?,Cher
What was Johnny Cash's last name at birth?,Cash
What's the extra ninth candle of a Hanukkah menorah called?,the Servant
What did Yvonne Brathwaite Burke do first?,give birth while serving in U.S. Congress
Who is Christian Bale's stepmother?,Gloria Steinem
"If your great-aunt's kid has a kid, who is that kid to you?",2nd cousin
What has less than a day to reproduce before they die?,mayflies
"In the song ""7 Rings"" what is NOT one of Ariana Grande's favorite things?",nails with gold studs
When is the start of winter in the Southern Hemisphere?,June 21
"Based on the sport of cricket what would I achieve if I murder three players, one right after the other?",hat trick
Who governs a principality?,a prince
Go on say something nice about a Nehru jacket.,It has a stand-up collar.
Which of these people patented a ballet shoe?,Bill Nye the Science Guy
Where is the oldest university in Europe?,"Bologna, Italy"
If you are my pawn and I sacrifice you in my chess opening what's that called?,a gambit
What car is parked closest to the four Beatles on the Abbey Road album cover?,Volkswagen Beetle
When you twist off a bottle cap what's that leftover ring on the bottom called?,tamper evident band
What letter is NOT used on a standard eye examination chart?,G
Which of these foods was invented in the United States?,chimichanga
"My criminal profile says I'm reserved a perfectionist, and emotionally detached. Which of these could be my Myers-Briggs personality type?",INTJ
Whose commercials rudely keep asking about the contents of my wallet?,Capital One
What's blocking the man's face in Magritte's painting The Son of Man?,a green apple
"What does the ""R"" stand for in U.S.S.R.?",Republics
"In what Daniel Day-Lewis film does he say the line ""Stay alive! No matter what occurs. I will find you!""?",The Last of the Mohicans
What was the literal translation of Guardians of the Galaxy as it was renamed in China?,Interplanetary Unusual Attacking Team
What is Elton John's full legal name?,Sir Elton Hercules John
Where is the god Zeus in the birth order among his siblings?,the baby
What is NOT part of a classic BLT?,maize
What's the tenth digit of pi?,3
If I try to get my captives to sleep using the Ferber Method what would I need to do?,"Go in, reassure them, and leave. Eventually, stop going in."
"What would you find at 14 N. Moore St. New York, New York?",the Ghostbusters firehouse
What was born out of Justin.tv?,Twitch
"If I chop through a door and yell ""Here's Johnny!"" which of these critiques would you be right to give me?",You're ripping off Jack Nicholson who was ripping off Ed McMahon.
What color is the outside of a Jarrahdale pumpkin?,greenish blue
On a Saturday night how often do those Bellagio fountains in Las Vegas go off?,"after 8PM, every fifteen minutes"
Where would I find the carburetor on my 2006 Toyota Corolla?,It doesn't have one. You've got fuel injection.
Where do you get cut when they take out your appendix?,lower right abdomen
What was Waluigi's first appearance?,Mario Tennis
What baseball team used to play at Ebbets Field?,The Dodgers
Who wrote the music to Kinky Boots?,Cyndi Lauper
What's the name of that fish that'll swim up your pee hole?,candiru
"According to the popular podcast, what is 99% Invisible?",architecture & design
How many U.S. states border the Pacific Ocean?,5
What does Harry Potter find in the Chamber of Secrets?,A really big snake

